Distance Metric,Experiment Type,M,Ef Construct,Limit,Ef Search,Avg Latency,Throughput (QPS),Recall,Indexing Time
dot,hnsw,16,128,10,256,0.012872707271575927,77.68373652122798,0.99639,1565.3925459384918
dot,hnsw,16,128,10,512,0.020381062841415405,49.06515463795866,0.99845,1553.5135052204132
dot,hnsw,16,128,100,128,0.012607698106765748,79.31662001514486,0.942763,1587.4891669750214
dot,hnsw,16,128,100,256,0.09221889650821685,10.843764541369223,0.983334,1550.0130817890167
dot,hnsw,16,128,100,512,0.017686330890655518,56.54083971302069,0.996071,1595.3834691047668
dot,hnsw,16,512,1,128,0.010122338843345641,98.79139747010083,0.9895,3571.578827381134
dot,hnsw,16,512,1,256,0.012482630562782288,80.11131908217808,0.9919,3546.1221239566803
dot,hnsw,16,512,1,512,0.015081381893157959,66.30692114849732,0.9939,3573.5077266693115
dot,hnsw,16,512,10,128,0.010485099148750305,95.37344242654946,0.99024,3576.043769598007
dot,hnsw,16,512,10,256,0.012041170239448548,83.04840643510387,0.99747,3520.001976966858
dot,hnsw,16,512,10,512,0.016149212646484376,61.922523524247254,0.99876,3543.465224504471
dot,hnsw,16,512,100,128,0.012134947061538696,82.40662237163491,0.950937,3509.420320034027
dot,hnsw,16,512,100,256,0.014307601356506348,69.89291741380902,0.987529,3677.47980928421
dot,hnsw,16,512,100,512,0.01658961412906647,60.27867750389154,0.997586,3774.4505140781403
dot,hnsw,64,64,1,128,0.011044979357719422,90.5388745069127,0.9855,1245.1583456993103
dot,hnsw,64,64,1,256,0.012042951083183288,83.03612570480291,0.987,1227.7093069553375
dot,hnsw,64,64,1,512,0.014898816871643067,67.11942354988611,0.992,1213.781063079834
dot,hnsw,64,64,10,128,0.012589057421684265,79.43406456130153,0.98168,1225.8931686878204
dot,hnsw,64,64,10,256,0.012837581849098206,77.89629010780145,0.99444,1229.3816096782684
dot,hnsw,64,64,10,512,0.01493254063129425,66.96784054980515,0.99807,1225.0567803382874
dot,hnsw,64,64,100,128,0.013312058734893798,75.11986086560621,0.927883,1232.2997901439667
dot,hnsw,64,64,100,256,0.016964636039733888,58.94615113804035,0.979726,1230.1724088191986
dot,hnsw,64,64,100,512,0.018619362139701844,53.70753264784039,0.994261,1230.7031440734863
dot,hnsw,64,128,1,128,0.01063233072757721,94.05275528217793,0.9898,1676.6561019420624
dot,hnsw,64,128,1,256,0.012988791537284852,76.98945641936432,0.9914,1672.070612668991
dot,hnsw,64,128,1,512,0.015506620264053344,64.48858506699548,0.9934,1674.1524028778076
dot,hnsw,64,128,10,128,0.033598602986335754,29.76314224751222,0.99285,1675.5137479305267
dot,hnsw,64,128,10,256,0.016652788400650025,60.0500033952852,0.9977,1689.3427076339722
dot,hnsw,64,128,10,512,0.01763589062690735,56.70255169729192,0.99892,1667.6839454174042
dot,hnsw,64,128,100,128,0.01730705771446228,57.7798963000147,0.967201,1675.5979743003845
dot,hnsw,64,128,100,256,0.017488592863082887,57.180129232176554,0.991617,1676.6104431152344
dot,hnsw,64,128,100,512,0.019956362867355346,50.10933137700165,0.998227,1684.683658838272
dot,hnsw,64,512,1,128,0.015230132961273193,65.65930859190628,0.9911,4195.0245497226715
dot,hnsw,64,512,1,256,0.02242379298210144,44.59548840814732,0.9919,4175.125874996185
dot,hnsw,64,512,1,512,0.028492525935173034,35.0969233923039,0.9946,4171.115658044815
dot,hnsw,64,512,10,128,0.06462545759677887,15.473778247565447,0.99742,4081.034342765808
dot,hnsw,64,512,10,256,0.06827708806991577,14.646201650779242,0.99883,4059.8320786952972
dot,hnsw,64,512,10,512,0.028836215829849243,34.67861406991099,0.99901,4167.715923070908
dot,hnsw,64,512,100,128,0.03630605306625366,27.543616437047962,0.986545,4230.93986415863
dot,hnsw,64,512,100,256,0.13309829542636872,7.513244228985711,0.997831,4066.078092813492
dot,hnsw,64,512,100,512,0.09984701316356659,10.015322124476853,0.999587,4036.174982070923
dot,flat,8,64,1,128,0.4781275677204132,2.0914920358341553,0.993,824.0183367729187
dot,flat,8,64,1,256,0.5035597271203994,1.9858617481554541,0.993,822.6240968704224
dot,flat,8,64,1,512,0.48046954264640807,2.081297379417721,0.993,867.0480771064758
dot,flat,8,64,10,128,0.4865252692937851,2.0553916992873735,0.99921,851.4569506645203
dot,flat,8,64,10,256,0.5054227337360382,1.9785417893811232,0.99918,846.0229682922363
dot,flat,8,64,10,512,0.47902695968151093,2.0875651772603083,0.99915,823.1258194446564
dot,flat,8,64,100,128,0.4840560600042343,2.0658764193371577,0.999839,817.8762772083282
dot,flat,8,64,100,256,0.45795273003578185,2.1836314851139016,0.999852,840.2336044311523
dot,flat,8,64,100,512,0.508779059958458,1.965489696218336,0.999851,850.2042007446289
dot,flat,8,128,1,128,0.47855344371795655,2.089630767737964,0.993,830.9605870246887
dot,flat,8,128,1,256,0.4873467555999756,2.051927069400296,0.993,853.8254244327545
dot,flat,8,128,1,512,0.4789315336942673,2.0879811197363423,0.993,847.6769363880157
dot,flat,8,128,10,128,0.45104894168376924,2.217054309598848,0.99918,795.9036300182343
dot,flat,8,128,10,256,0.43041748287677767,2.323325700704136,0.99925,800.2708268165588
dot,flat,8,128,10,512,0.4752047791004181,2.1043559408073307,0.99923,796.1032485961914
dot,flat,8,128,100,128,0.4850629961490631,2.061587892581056,0.999838,807.0490543842316
dot,flat,8,128,100,256,0.47422446389198303,2.108706058293475,0.999845,816.394688129425
dot,flat,8,128,100,512,0.47872790217399597,2.088869262599499,0.999854,804.839033126831
dot,flat,8,512,1,128,0.45433669300079343,2.2010108701439477,0.993,796.494068145752
dot,flat,8,512,1,256,0.45287075786590575,2.2081355058391696,0.993,797.0835771560669
dot,flat,8,512,1,512,0.45086328229904177,2.217967262494299,0.993,810.8423235416412
dot,flat,8,512,10,128,0.4540294338941574,2.2025003784955457,0.99923,784.360925912857
dot,flat,8,512,10,256,0.4530395703315735,2.207312706190573,0.99917,805.7113926410675
dot,flat,8,512,10,512,0.45173462750911714,2.213689053491516,0.99919,796.7970945835114
dot,flat,8,512,100,128,0.455971878862381,2.193117703870099,0.999846,799.8940858840942
dot,flat,8,512,100,256,0.46054687149524687,2.1713316535042853,0.999864,795.2087984085083
dot,flat,8,512,100,512,0.4580831331729889,2.1830098678231917,0.999855,808.1342535018921
dot,flat,16,64,1,128,0.4551650876045227,2.197005058676349,0.993,796.727046251297
dot,flat,16,64,1,256,0.45474156894683837,2.199051215651906,0.993,796.2217371463776
dot,flat,16,64,1,512,0.47573312814235685,2.1020188438522265,0.993,802.4661271572113
dot,flat,16,64,10,128,0.4743323527097702,2.1082264245463986,0.99912,802.839494228363
dot,flat,16,64,10,256,0.4563529252052307,2.1912864907139156,0.9992,800.5725333690643
dot,flat,16,64,10,512,0.4573800973653793,2.186365357304009,0.99918,790.8227450847626
dot,flat,16,64,100,128,0.4565492320537567,2.1903442822618837,0.999855,809.137335062027
dot,flat,16,64,100,256,0.45864395825862886,2.1803405059488457,0.999846,797.410314321518
dot,flat,16,64,100,512,0.4537050106048584,2.2040752837771103,0.999849,794.6925919055939
dot,flat,16,128,1,128,0.45554068365097045,2.1951936147292335,0.993,801.8673851490021
dot,flat,16,128,1,256,0.4538225805521011,2.2035042830690417,0.993,805.6027534008026
dot,flat,16,128,1,512,0.454844513130188,2.19855350813867,0.993,806.9880077838898
dot,flat,16,128,10,128,0.4736011142015457,2.1114815189696534,0.99921,801.0078155994415
dot,flat,16,128,10,256,0.47508675310611725,2.1048787268051568,0.9992,801.7978687286377
dot,flat,16,128,10,512,0.45823060450553893,2.1823073146305143,0.99925,806.0726153850555
dot,flat,16,128,100,128,0.47685620737075807,2.0970682242215104,0.999862,794.352338552475
dot,flat,16,128,100,256,0.4679337578296661,2.1370546220860875,0.999844,801.1921317577362
dot,flat,16,128,100,512,0.497464915060997,2.010192015003479,0.999845,791.665441274643
dot,flat,16,512,1,128,0.5014775659322739,1.994107150418476,0.993,817.8329629898071
dot,flat,16,512,1,256,0.4769177700281143,2.096797525370149,0.993,845.8808088302612
dot,flat,16,512,1,512,0.49875119643211363,2.0050077215927296,0.993,844.5083196163177
dot,flat,16,512,10,128,0.47366414155960085,2.111200558073427,0.99909,824.2513887882233
dot,flat,16,512,10,256,0.4668493904829025,2.1420184333230337,0.99914,793.8253273963928
dot,flat,16,512,10,512,0.4735734671831131,2.111604786366415,0.99917,787.8492465019226
dot,flat,16,512,100,128,0.4751350100517273,2.1046649454249464,0.999848,800.115359544754
dot,flat,16,512,100,256,0.4751378881454468,2.1046521966564056,0.999857,783.562849521637
dot,flat,16,512,100,512,0.44975007605552675,2.2234571003753176,0.99985,789.2693061828613
dot,flat,64,64,1,128,0.4572268233776092,2.187098282232955,0.993,801.7856607437134
dot,flat,64,64,1,256,0.47424375665187835,2.1086202738016357,0.993,787.9970936775208
dot,flat,64,64,1,512,0.47453477964401247,2.1073270978160594,0.993,807.1206479072571
dot,flat,64,64,10,128,0.47508423030376434,2.1048899041768014,0.99917,801.4901647567749
dot,flat,64,64,10,256,0.4541134592294693,2.202092846348972,0.99917,801.8578748703003
dot,flat,64,64,10,512,0.4549001142501831,2.198284785327678,0.9992,809.601124048233
dot,flat,64,64,100,128,0.45567247738838196,2.1945587008707417,0.999856,797.030891418457
dot,flat,64,64,100,256,0.45632913188934326,2.191400745903931,0.999853,796.5303010940552
dot,flat,64,64,100,512,0.45720581009387967,2.1871988017708404,0.999852,816.1981909275055
dot,flat,64,128,1,128,0.42386642880439757,2.359233786975547,0.993,798.6992936134338
dot,flat,64,128,1,256,0.4543577214717865,2.2009090035066023,0.993,804.8436965942383
dot,flat,64,128,1,512,0.47727769198417663,2.0952163002689708,0.993,809.5273087024689
dot,flat,64,128,10,128,0.4569113669395447,2.188608278008354,0.99916,802.0426135063171
dot,flat,64,128,10,256,0.45603416485786435,2.1928181637699833,0.99917,797.0054149627686
dot,flat,64,128,10,512,0.45572529916763305,2.1943043360253784,0.99919,799.084685087204
dot,flat,64,128,100,128,0.48029536490440367,2.0820521559666445,0.999842,793.0272586345673
dot,flat,64,128,100,256,0.4326019225358963,2.311593980299573,0.999855,790.7090349197388
dot,flat,64,128,100,512,0.4576258741617203,2.1851911276472324,0.99985,798.1746363639832
dot,flat,64,512,1,128,0.47114577224254606,2.1224853514873514,0.993,814.0541541576385
dot,flat,64,512,1,256,0.4539638554096222,2.202818546198302,0.993,794.8102617263794
dot,flat,64,512,1,512,0.47574720895290373,2.1019566298685195,0.993,801.7703874111176
dot,flat,64,512,10,128,0.4769038018703461,2.096858939010652,0.99911,792.5018889904022
dot,flat,64,512,10,256,0.45382196056842805,2.2035072933611777,0.99904,795.4556686878204
dot,flat,64,512,10,512,0.47715273113250734,2.0957650134927044,0.99905,807.8026087284088
dot,flat,64,512,100,128,0.47897185413837434,2.0878053508987637,0.999845,797.380800485611
dot,flat,64,512,100,256,0.4757425304174423,2.1019773008785774,0.99986,797.9867000579834
dot,flat,64,512,100,512,0.4921717111110687,2.031811210243104,0.999849,806.4135773181915
cosine,hnsw,8,64,1,128,0.008512966775894165,117.46786124335183,0.9113,1154.7233636379242
cosine,hnsw,8,64,1,256,0.009900798439979553,101.00195515161555,0.9749,1151.7259361743927
cosine,hnsw,8,64,1,512,0.012116198992729187,82.53413472328164,0.9329,1137.6768670082092
cosine,hnsw,8,64,10,128,0.009955384731292725,100.44815212984221,0.86395,1138.1457455158234
cosine,hnsw,8,64,10,256,0.010437465071678162,95.80870385027478,0.90092,1137.895988702774
cosine,hnsw,8,64,10,512,0.013339226341247559,74.966866474692,0.91806,1137.9264886379242
cosine,hnsw,8,64,100,128,0.012600170207023621,79.36400727686816,0.847982,1143.6711721420288
cosine,hnsw,8,64,100,256,0.013230582094192506,75.58246439050816,0.887613,1140.1872901916504
cosine,hnsw,8,64,100,512,0.014927672410011292,66.98968014124873,0.909358,1136.2016639709473
cosine,hnsw,8,128,1,128,0.008687851405143738,115.10325779834805,0.9635,1426.132447719574
cosine,hnsw,8,128,1,256,0.010214481782913207,97.90021865551718,0.9821,1420.5666608810425
cosine,hnsw,8,128,1,512,0.011953138947486877,83.6600331003638,0.9894,1426.6263482570648
cosine,hnsw,8,128,10,128,0.009395691871643066,106.43175762479805,0.90305,1473.7145476341248
cosine,hnsw,8,128,10,256,0.011591010403633117,86.2737557104217,0.98192,1521.320430278778
cosine,hnsw,8,128,10,512,0.018016675305366516,55.504136198876616,0.96171,1519.3223164081573
cosine,hnsw,8,128,100,128,0.012604921174049377,79.33409389808554,0.838684,1518.1602516174316
cosine,hnsw,8,128,100,256,0.016034003472328185,62.367455621786576,0.941191,1515.1203620433807
cosine,hnsw,8,128,100,512,0.0291278995513916,34.331346077174466,0.920173,1506.8707058429718
cosine,hnsw,8,512,1,128,0.008547991943359375,116.98653983604463,0.968,3289.943126440048
cosine,hnsw,8,512,1,256,0.009992143392562866,100.0786278491858,0.9838,3288.5423064231873
cosine,hnsw,8,512,1,512,0.011834008383750915,84.50222169633442,0.9897,3285.559715986252
cosine,hnsw,8,512,10,128,0.009362249088287353,106.81194129421856,0.95645,3325.879103899002
cosine,hnsw,8,512,10,256,0.010391851496696473,96.22924272136645,0.98482,3302.7434735298157
cosine,hnsw,8,512,10,512,0.012578978133201598,79.4977135193954,0.99496,3210.4969696998596
cosine,hnsw,8,512,100,128,0.011556477308273316,86.5315591702064,0.868507,3118.023890018463
cosine,hnsw,8,512,100,256,0.012496852564811707,80.02014865853283,0.946168,3160.1554419994354
cosine,hnsw,8,512,100,512,0.014603439593315124,68.47701828121097,0.982241,3287.090830564499
cosine,hnsw,16,64,1,128,0.010225225448608398,97.79735469168506,0.9574,1233.835109949112
cosine,hnsw,16,64,1,256,0.011650370764732361,85.83417817286715,0.9602,1230.5953178405762
cosine,hnsw,16,64,1,512,0.014055545258522035,71.14629718072935,0.988,1232.657180070877
cosine,hnsw,16,64,10,128,0.010020340919494629,99.79700371815638,0.97782,1218.9204585552216
cosine,hnsw,16,64,10,256,0.01200802869796753,83.27761576463082,0.94897,1228.4764065742493
cosine,hnsw,16,64,10,512,0.01442815556526184,69.30892832952706,0.91162,1220.8748216629028
cosine,hnsw,16,64,100,128,0.013505991291999817,74.04121462689993,0.922919,1231.740549325943
cosine,hnsw,16,64,100,256,0.013873249173164367,72.0811676859624,0.950463,1238.619725227356
cosine,hnsw,16,64,100,512,0.01888865258693695,52.941838778462255,0.965734,1228.2016170024872
cosine,hnsw,16,128,1,128,0.00978440318107605,102.20347439628136,0.9877,1635.7499084472656
cosine,hnsw,16,128,1,256,0.011716285634040832,85.35128207309758,0.9929,1647.381608247757
cosine,hnsw,16,128,1,512,0.014261285758018494,70.11990482258895,0.9933,1629.0792195796967
cosine,hnsw,16,128,10,128,0.011066430044174194,90.3633778922625,0.98756,1634.7094676494598
cosine,hnsw,16,128,10,256,0.012301504015922546,81.29087294575056,0.99641,1637.7440478801727
cosine,hnsw,16,128,10,512,0.015538353300094605,64.35688394303092,0.99874,1633.7374181747437
cosine,hnsw,16,128,100,128,0.017266607880592345,57.91525509327163,0.94347,1648.4600732326508
cosine,hnsw,16,128,100,256,0.019572765946388244,51.091399280975395,0.983641,1635.2402424812317
cosine,hnsw,16,128,100,512,0.016841328811645507,59.3777374210826,0.996283,1636.6734883785248
cosine,hnsw,16,512,1,128,0.009295076274871826,107.58384013516763,0.9891,3792.6138591766357
cosine,hnsw,16,512,1,256,0.01146301350593567,87.23709515671332,0.9933,3802.0657708644867
cosine,hnsw,16,512,1,512,0.014269380688667297,70.08012623800816,0.9928,3790.005478143692
cosine,hnsw,16,512,10,128,0.010140627384185792,98.61322797044,0.99026,3795.910855293274
cosine,hnsw,16,512,10,256,0.012232288789749145,81.75084950888473,0.9976,3783.0279643535614
cosine,hnsw,16,512,10,512,0.015075626158714295,66.33223651688665,0.99899,3793.561591386795
cosine,hnsw,16,512,100,128,0.012001301050186158,83.32429924207997,0.950949,3795.594027042389
cosine,hnsw,16,512,100,256,0.013986871457099915,71.49561666217983,0.987593,3808.576657295227
cosine,hnsw,16,512,100,512,0.017220563173294068,58.07011013152093,0.997664,3807.4690787792206
cosine,hnsw,64,64,1,128,0.011037857031822204,90.59729593498034,0.9846,1251.6531190872192
cosine,hnsw,64,64,1,256,0.015537477469444274,64.36051167035203,0.9852,1242.671695947647
cosine,hnsw,64,64,1,512,0.016415983057022094,60.916242208975746,0.9916,1236.2865335941315
cosine,hnsw,64,64,10,128,0.014768708658218384,67.71072699328572,0.98414,1239.2997541427612
cosine,hnsw,64,64,10,256,0.029331558084487914,34.09297239238215,0.99054,1237.8812263011932
cosine,hnsw,64,64,10,512,0.020539342522621153,48.6870501769296,0.99824,1239.5701067447662
cosine,hnsw,64,64,100,128,0.01801620659828186,55.50558018663964,0.940919,1245.3957076072693
cosine,hnsw,64,64,100,256,0.02461435375213623,40.62670139829334,0.980716,1243.98308801651
cosine,hnsw,64,64,100,512,0.02598773901462555,38.479684571143856,0.992738,1250.5950882434845
cosine,hnsw,64,128,1,128,0.013308026051521302,75.14262416744258,0.9906,1690.1740975379944
cosine,hnsw,64,128,1,256,0.016923297452926634,59.09013906903023,0.9926,1689.1099858283997
cosine,hnsw,64,128,1,512,0.01786766211986542,55.96703101343021,0.9928,1681.622765302658
cosine,hnsw,64,128,10,128,0.022579425716400148,44.28810602006005,0.99297,1683.3918917179108
cosine,hnsw,64,128,10,256,0.023163297724723815,43.17174574553906,0.99806,1692.4656479358673
cosine,hnsw,64,128,10,512,0.026430979871749877,37.83438997919355,0.99915,1688.2441675662994
cosine,hnsw,64,128,100,128,0.024821026945114136,40.28842167615647,0.968211,1701.7709639072418
cosine,hnsw,64,128,100,256,0.03339293308258057,29.946455962014618,0.992046,1698.0340967178345
cosine,hnsw,64,128,100,512,0.03395401792526245,29.451595454804202,0.99835,1704.2810547351837
cosine,hnsw,64,512,1,128,0.023601342582702637,42.37047093807695,0.9918,4319.196773529053
cosine,hnsw,64,512,1,256,0.024278120613098145,41.18934970034278,0.9925,4334.539201974869
cosine,hnsw,64,512,1,512,0.038667873334884646,25.861261914754415,0.9928,4113.568555355072
cosine,hnsw,64,512,10,128,0.03976083397865295,25.15037789541553,0.99786,3889.3291912078857
cosine,hnsw,64,512,10,256,0.04696220030784607,21.293721193743302,0.99927,3832.2154154777527
cosine,hnsw,64,512,10,512,0.043248674750328064,23.122095781499397,0.99916,3865.475973367691
cosine,hnsw,64,512,100,128,0.06541218724250794,15.287671031280738,0.986759,3856.722287416458
cosine,hnsw,64,512,100,256,0.07088953742980957,14.106454016435613,0.997968,3837.2533202171326
cosine,hnsw,64,512,100,512,0.06440602145195007,15.526498570417784,0.999655,3841.7778601646423
cosine,flat,8,64,1,128,0.47065233759880065,2.1247105774548016,0.9933,797.7904152870178
cosine,flat,8,64,1,256,0.4862427225828171,2.0565860496342534,0.9933,792.5217463970184
cosine,flat,8,64,1,512,0.4734455708026886,2.112175214364306,0.9933,782.8654963970184
cosine,flat,8,64,10,128,0.4954607140779495,2.0183234948526567,0.99931,791.2527251243591
cosine,flat,8,64,10,256,0.47549236211776735,2.1030832031584255,0.99934,792.3391721248627
cosine,flat,8,64,10,512,0.4750236425876617,2.105158376018007,0.99923,789.3792178630829
cosine,flat,8,64,100,128,0.4786362847566605,2.089269100248849,0.999919,845.5760471820831
cosine,flat,8,64,100,256,0.48507783255577086,2.061524837635261,0.999903,806.2102007865906
cosine,flat,8,64,100,512,0.45864941062927245,2.180314586315478,0.999911,817.6740095615387
cosine,flat,8,128,1,128,0.45321053478717804,2.206480042370567,0.9933,807.5199446678162
